project,dataset,source,task,algorithm,feature_variant,optimization,primary_metric,primary_value,rank_score,secondary_metric,secondary_value,tertiary_metric,tertiary_value,fit_seconds,notes
weight_quantization_theory,CIFAR-10 / digits fallback,sklearn_digits_fallback,multiclass_classification,cnn_int8,image_tensor,adam_conv_fake_q_8bit,accuracy,0.17333333333333334,0.17333333333333334,model_kb,5.009765625,latency_ms,6.552434549666941,2.086338578010327,balanced_accuracy=0.173
weight_quantization_theory,CIFAR-10 / digits fallback,sklearn_digits_fallback,multiclass_classification,cnn_int4,image_tensor,adam_conv_fake_q_4bit,accuracy,0.19777777777777777,0.19777777777777777,model_kb,2.5048828125,latency_ms,4.3389546997786965,1.704490012009046,balanced_accuracy=0.198
weight_quantization_theory,CIFAR-10 / digits fallback,sklearn_digits_fallback,multiclass_classification,mlp_fp32,flattened_pixels,adam_dense_fp32,accuracy,0.8777777777777778,0.8777777777777778,model_kb,67.2890625,latency_ms,0.35531070025172085,1.050069249002263,balanced_accuracy=0.876
continual_hashing,Covertype-inspired streaming benchmark,synthetic_covertype_fallback,streaming_multiclass_classification,raw_static,raw_dense_input,single_fit,post_drift_accuracy,0.19090909090909092,0.19090909090909092,balanced_accuracy,0.19744488302686053,retained_accuracy,0.5563636363636364,0.0,Hash projection reduces input width while preserving stream structure.
continual_hashing,Covertype-inspired streaming benchmark,synthetic_covertype_fallback,streaming_multiclass_classification,hashed_static,hash_projected_input,single_fit,post_drift_accuracy,0.18727272727272729,0.18727272727272729,balanced_accuracy,0.19107827091556753,retained_accuracy,0.3981818181818182,0.0,Hash projection reduces input width while preserving stream structure.
continual_hashing,Covertype-inspired streaming benchmark,synthetic_covertype_fallback,streaming_multiclass_classification,raw_replay,raw_dense_input,stream_replay,post_drift_accuracy,0.2018181818181818,0.2018181818181818,balanced_accuracy,0.20385424087802062,retained_accuracy,0.5454545454545454,0.0,Hash projection reduces input width while preserving stream structure.
continual_hashing,Covertype-inspired streaming benchmark,synthetic_covertype_fallback,streaming_multiclass_classification,hashed_replay,hash_projected_input,stream_replay,post_drift_accuracy,0.16363636363636364,0.16363636363636364,balanced_accuracy,0.1767047270626745,retained_accuracy,0.40545454545454546,0.0,Hash projection reduces input width while preserving stream structure.
adversarial_edge_robustness,GTSRB / digits fallback,sklearn_digits_fallback,adversarial_classification,tiny_cnn_standard,image_tensor,adam_clean_training,adversarial_accuracy,0.2109375,0.2109375,clean_accuracy,0.2688888888888889,model_kb,11.6640625,1.9748840289976215,FGSM epsilon=0.05
adversarial_edge_robustness,GTSRB / digits fallback,sklearn_digits_fallback,adversarial_classification,tiny_cnn_adversarial,image_tensor,fgsm_adversarial_training,adversarial_accuracy,0.23046875,0.23046875,clean_accuracy,0.34,model_kb,11.6640625,4.534921015001601,FGSM epsilon=0.05
adversarial_edge_robustness,GTSRB / digits fallback,sklearn_digits_fallback,adversarial_classification,depthwise_cnn_standard,image_tensor,adam_depthwise,adversarial_accuracy,0.08984375,0.08984375,clean_accuracy,0.1,model_kb,2.1875,1.336689382995246,FGSM epsilon=0.05
adversarial_edge_robustness,GTSRB / digits fallback,sklearn_digits_fallback,adversarial_classification,tiny_cnn_int8,image_tensor,adam_fake_q_8bit,adversarial_accuracy,0.078125,0.078125,clean_accuracy,0.17333333333333334,model_kb,2.916015625,1.1066042440070305,FGSM epsilon=0.05
